p: 359.210991595, r: 0.0259563263417, y: 152.692567198
p: 359.29430192, r: 0.0820025308037, y: 152.701733312
p: 359.373106081, r: 0.125273099877, y: 152.722497087
p: 359.433350538, r: 0.162252331013, y: 152.756811957
p: 359.487917132, r: 0.196409440041, y: 152.803257243
p: 359.539536447, r: 0.223292450965, y: 152.841533624
p: 359.5865893, r: 0.255676739037, y: 152.870725852
p: 359.626445001, r: 0.284701201028, y: 152.897623137
p: 359.670364799, r: 0.307850339632, y: 152.918059063
p: 359.707623347, r: 0.33310637815, y: 152.937648046
p: 359.757032322, r: 0.364757901651, y: 152.962824123
p: 359.781543576, r: 0.385658067068, y: 152.983137105
p: 359.806478756, r: 0.40038094003, y: 153.007152051
p: 359.845830331, r: 0.429660173414, y: 153.030634241
p: 359.86798569, r: 0.439212166287, y: 153.046357336
p: 359.884883618, r: 0.447945363554, y: 153.067107451
p: 359.899880626, r: 0.460018256521, y: 153.060086017
p: 359.910107107, r: 0.470610705984, y: 153.054567224
p: 359.916823117, r: 0.480434492362, y: 153.053597337
p: 359.949166297, r: 0.502340936743, y: 153.059949413
p: 359.951869771, r: 0.508353904451, y: 153.076628735
p: 359.955570243, r: 0.511990446576, y: 153.094783378
p: 359.960652011, r: 0.513471103522, y: 153.099783076
p: 359.963289598, r: 0.514761368945, y: 153.111025567
p: 359.964371542, r: 0.509959105628, y: 153.133332965
p: 359.97149091, r: 0.514544563799, y: 153.157416212
p: 359.969941418, r: 0.51892602343, y: 153.190228441
p: 0.00551651167291, r: 0.541360046563, y: 153.223969576
p: 0.0176973936655, r: 0.554867812864, y: 153.240239086
p: 0.0315638849699, r: 0.552762994022, y: 153.262887993
p: 0.0374884837704, r: 0.561146731063, y: 153.274116824
p: 0.0752921567587, r: 0.578477108782, y: 153.284498712
p: 0.079102928738, r: 0.583304131535, y: 153.305685959
p: 0.100665582484, r: 0.59831688733, y: 153.333635093
p: 0.105951748695, r: 0.595386736176, y: 153.343675471
p: 0.127504197177, r: 0.602481648538, y: 153.366843473
p: 0.122968911548, r: 0.60180049725, y: 153.377785436
