{'pitch': 359.09582158538615, 'yaw': 153.33211879091016, 'roll': 0.6402769271966575}
{'pitch': 359.0901871062077, 'yaw': 153.33486452695652, 'roll': 0.6341702578309901}
{'pitch': 359.0881567257552, 'yaw': 153.34239139542186, 'roll': 0.6309741028253945}
{'pitch': 359.0839437796978, 'yaw': 153.35013682994065, 'roll': 0.6293470236990505}
{'pitch': 359.0822422088208, 'yaw': 153.3486478487016, 'roll': 0.6217512130117616}
{'pitch': 359.0753511882785, 'yaw': 153.34872981097163, 'roll': 0.6147771629823554}
{'pitch': 359.0713608636993, 'yaw': 153.34252799920526, 'roll': 0.6106559442310461}
{'pitch': 359.07255582663896, 'yaw': 153.3341405269045, 'roll': 0.6083222073298703}
{'pitch': 359.07059172036577, 'yaw': 153.33368973441927, 'roll': 0.5969955658910207}
{'pitch': 359.0673732071628, 'yaw': 153.33054784740108, 'roll': 0.5953716350549971}
{'pitch': 359.0621914414603, 'yaw': 153.33353947025753, 'roll': 0.5900763174575332}
{'pitch': 359.0587051634975, 'yaw': 153.34164007461317, 'roll': 0.5838299493789979}
{'pitch': 359.0534476253839, 'yaw': 153.34868882983662, 'roll': 0.5798283122990167}
{'pitch': 359.05956608749807, 'yaw': 153.34984996199552, 'roll': 0.5750423240423946}
{'pitch': 359.05728074889043, 'yaw': 153.3445907163346, 'roll': 0.5753545917535112}
{'pitch': 359.05524802056044, 'yaw': 153.33594369684536, 'roll': 0.5731987065750201}
{'pitch': 359.05814338043825, 'yaw': 153.33170897955998, 'roll': 0.5748984098221485}
{'pitch': 359.0477079186036, 'yaw': 153.32272045061222, 'roll': 0.5545870814169701}
{'pitch': 359.0479836874913, 'yaw': 153.3068744117378, 'roll': 0.5484718743148401}
{'pitch': 359.0438234619565, 'yaw': 153.2946893542585, 'roll': 0.5497494398547499}
{'pitch': 359.0411780443136, 'yaw': 153.29682037327953, 'roll': 0.5565927024337208}
{'pitch': 359.0416391888043, 'yaw': 153.2915474672403, 'roll': 0.5593800599453208}
